timestamp,source_ip,destination_ip,source_port,destination_port,protocol,action,bytes_sent,connection_state,country,city
2024-01-15 03:09:01.000,10.0.2.56,10.0.0.50,51387,8080,UDP,ALLOW,62,ESTABLISHED,India,Chennai
2024-01-15 03:36:03.000,10.0.3.7,10.0.0.50,51401,80,TCP,ALLOW,1346,ESTABLISHED,India,Chennai
2024-01-15 05:50:33.000,10.0.3.167,10.0.0.50,52158,443,UDP,ALLOW,671,ESTABLISHED,India,Chennai
2024-01-15 07:41:56.000,10.0.5.109,10.0.0.50,17517,22,TCP,ALLOW,192,ESTABLISHED,India,Chennai
2024-01-15 09:46:00.000,10.0.5.56,10.0.0.50,53910,22,TCP,ALLOW,379,ESTABLISHED,India,Chennai
2024-01-15 14:07:05.000,10.0.5.40,10.0.0.50,16412,8080,UDP,ALLOW,613,ESTABLISHED,India,Chennai
2024-01-15 14:26:06.000,10.0.2.60,10.0.0.50,14546,8080,TCP,ALLOW,361,ESTABLISHED,India,Chennai
2024-01-15 14:27:50.000,10.0.5.179,10.0.0.50,60357,443,TCP,ALLOW,1274,ESTABLISHED,India,Chennai
2024-01-15 16:01:18.000,10.0.0.36,10.0.0.50,14595,443,TCP,ALLOW,197,ESTABLISHED,India,Chennai
2024-01-15 17:07:03.000,10.0.2.56,10.0.0.50,37237,8080,UDP,ALLOW,350,ESTABLISHED,India,Chennai
2024-01-15 20:04:36.000,10.0.0.58,10.0.0.50,16832,22,UDP,ALLOW,560,ESTABLISHED,India,Chennai
2024-01-15 21:49:50.000,10.0.2.60,10.0.0.50,16598,8080,UDP,ALLOW,937,ESTABLISHED,India,Chennai
2024-01-15 22:27:30.000,10.0.2.9,10.0.0.50,22529,22,UDP,ALLOW,888,ESTABLISHED,India,Chennai
2024-01-15 23:44:36.000,10.0.3.140,10.0.0.50,5171,443,TCP,ALLOW,193,ESTABLISHED,India,Chennai
2024-01-16 00:19:00.000,10.0.1.140,10.0.0.50,55391,443,UDP,ALLOW,482,ESTABLISHED,India,Chennai
